ID,API_NUMBER,WELLTYPE,DEPTH,ISWSPNUM,VERIFIED_BY,VERIFIED_NOTES,VERIFIED_DATE,BEDROCK_DEPTH,VLQ,VLC,LATITUDE,LONGITUDE,ELEV_FT,BEDROCK_ELEV_FT,BEDROCK_ELEV_M
0,120012315400,nan,,nan,nan,nan,nan,15.0,nan,nan,40.183949,-90.925546,686.9640503,671.9640503,204.81464253144003
1,120112265500, ,0.0,nan,nan,nan,nan,85.0,nan,nan,41.206931,-89.514952,706.8858032,621.8858032,189.55079281536004
2,120192630900,MONIT,,nan,JRA,"North of County Road 1800N (Cardinal Rd.), west of Kaskaskia (Big) Ditch; 3/4 mile east of County Road 600E",7/1/2007 0:00:00,314.0,nan,nan,40.142511,-88.344935,712.4928589,398.4928589,121.46062339272
3,120192651100,STRAT,,nan,TH,"Update latlongs from A. Stumpf 4/4/16, xy was more than 1 mile off - Natural Resources Building; lat/long changed per A Stumpf; south side of building in grass part of horseshoe-shaped parking lot",7/1/2009 0:00:00,424.0,nan,nan,40.100854,-88.229066,755.7313843,331.73138429999995,101.11172593463999
4,120192652900,MONIT,,nan,TOH,Iliinois Sustainability Technology Center Illinois Sustainable Technology Center; NW corner of property beside entrance to loading docks,7/1/2009 0:00:00,246.0,nan,nan,40.090426,-88.243053,744.3563232,498.3563232,151.89900731136
5,120192654100,MONIT,,nan,TOH,Somer Township south of Somer Township garage at edge of parking lot and park,7/1/2009 0:00:00,189.0,nan,nan,40.174143,-88.190916,726.8430176,537.8430176,163.93455176448003
6,120270376800,nan,0.0,20731.0,ACP,"'79,'04 PBK",6/21/2005 0:00:00,24.0,nan,nan,38.632867,-89.683321,498.4956665,474.4956665,144.6262791492
7,120270387400,nan,,nan,ACP,bridge center,6/28/2005 0:00:00,29.0,nan,nan,38.61566,-89.652409,481.7628784,452.7628784,138.00212533632
8,120270393900,nan,,nan,ACP,"xy recalc by ABL 3/23/10, xy was more than 1 mile off - bridge center",6/28/2005 0:00:00,49.0,nan,nan,38.617507,-89.610859,471.1917419,422.1917419,128.68404293112002
9,120270402800,nan,,nan,ACP,"Profile fits topo in ""E 1/2 Sec. 10""",6/27/2005 0:00:00,53.0,nan,nan,38.638476,-89.63773,449.0274963,396.0274963,120.70918087224001
10,120270405300,nan,0.0,20793.0,ACP,PBK; at house on TM,6/21/2005 0:00:00,27.0,nan,nan,38.618636,-89.687982,493.6773987,466.6773987,142.24327112376002
11,120272420700,PRIV,210.0,20699.0,ACP,part of Gun Club? (PBK),6/21/2005 0:00:00,60.0,nan,nan,38.641889,-89.661082,502.4273071,442.4273071,134.85184320408
12,120272460600,PRIV,200.0,20755.0,ACP,PBK; on house in DOQ,6/21/2005 0:00:00,30.0,nan,nan,38.62812,-89.640674,482.5207825,452.5207825,137.928334506
13,120272674400, ,0.0,nan,ACP,confirmed coords. with Shively,11/8/2004 0:00:00,22.0,nan,nan,38.614125,-89.684532,488.0030212,466.0030212,142.03772086176
14,120272679700,nan,,nan,ACP,Bridge center,6/28/2005 0:00:00,27.0,nan,nan,38.635517,-89.663021,453.9266357,426.9266357,130.12723856136
15,120272679800,nan,,nan,ACP,bridge center,6/28/2005 0:00:00,27.0,nan,nan,38.635517,-89.663021,453.9266357,426.9266357,130.12723856136
16,120272681300,nan,,nan,ACP,bridge center,6/28/2005 0:00:00,49.0,nan,nan,38.617507,-89.610858,471.1917419,422.1917419,128.68404293112002
17,120272681400,nan,,nan,ACP,bridge center,6/28/2005 0:00:00,29.0,nan,nan,38.6163,-89.650116,480.7228394,451.7228394,137.68512144912
18,120272681500,nan,,nan,ACP,bridge center,6/28/2005 0:00:00,30.0,nan,nan,38.6163,-89.650116,480.7228394,450.7228394,137.38032144912
19,120272681600,nan,,nan,ACP,bridge center,6/28/2005 0:00:00,30.0,nan,nan,38.6163,-89.650116,480.7228394,450.7228394,137.38032144912
20,120272681700,nan,,nan,ACP,bridge center,6/28/2005 0:00:00,29.0,nan,nan,38.6163,-89.650116,480.7228394,451.7228394,137.68512144912
21,120272681800,nan,,nan,ACP,"bridge center, TM good",7/11/2005 0:00:00,22.0,nan,nan,38.625601,-89.650329,465.6679688,443.6679688,135.22999689024
22,120272681900,nan,,nan,ACP,"bridge center, TM good",7/11/2005 0:00:00,20.0,nan,nan,38.625601,-89.650329,465.6679688,445.6679688,135.83959689024
23,120272682400,nan,,nan,ACP,nan,7/11/2005 0:00:00,17.0,nan,nan,38.623796,-89.652039,481.2876282,464.2876282,141.51486907536
24,120272682500,nan,,nan,ACP,nan,7/11/2005 0:00:00,12.0,nan,nan,38.623796,-89.652039,481.2876282,469.2876282,143.03886907536
25,120272682600,nan,,nan,ACP,nan,7/11/2005 0:00:00,15.0,nan,nan,38.623796,-89.652039,481.2876282,466.2876282,142.12446907536
26,120272699200,nan,,nan,JMG,nan,11/27/2012 0:00:00,50.0,nan,nan,38.712123,-89.384865,452.7507324,402.7507324,122.75842323552001
27,120310060400,nan,0.0,37411.0,RK,"Oracle, Top of bedrock fm is 252JOLT",1/21/2015 13:30:36,250.0,nan,nan,41.656479,-87.654022,596.9486084,346.9486084,105.74993584032
